Training mode: MMD + fisher + EM
Training model...
Epoch [70/200]	Time: 20.64 seconds	Total Loss: 1.695	Classifier Loss: 0.265	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 80.47%    Target Domain Accuracy: 72.01%
Epoch [71/200]	Time: 19.29 seconds	Total Loss: 1.699	Classifier Loss: 0.269	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 79.95%    Target Domain Accuracy: 73.31%
Epoch [72/200]	Time: 19.28 seconds	Total Loss: 1.688	Classifier Loss: 0.260	Transfer Loss: 0.111	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 79.43%    Target Domain Accuracy: 72.07%
Epoch [73/200]	Time: 19.24 seconds	Total Loss: 1.707	Classifier Loss: 0.276	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 80.27%    Target Domain Accuracy: 71.55%
Epoch [74/200]	Time: 19.34 seconds	Total Loss: 1.693	Classifier Loss: 0.263	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 74.22%    Target Domain Accuracy: 72.27%
Epoch [75/200]	Time: 19.30 seconds	Total Loss: 1.685	Classifier Loss: 0.254	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 78.71%    Target Domain Accuracy: 71.61%
Epoch [76/200]	Time: 20.67 seconds	Total Loss: 1.673	Classifier Loss: 0.244	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 79.82%    Target Domain Accuracy: 72.85%
Epoch [77/200]	Time: 19.34 seconds	Total Loss: 1.678	Classifier Loss: 0.251	Transfer Loss: 0.111	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 78.26%    Target Domain Accuracy: 72.53%
Epoch [78/200]	Time: 19.30 seconds	Total Loss: 1.688	Classifier Loss: 0.259	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 77.41%    Target Domain Accuracy: 72.98%
Epoch [79/200]	Time: 19.36 seconds	Total Loss: 1.677	Classifier Loss: 0.249	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 77.08%    Target Domain Accuracy: 68.95%
Epoch [80/200]	Time: 20.66 seconds	Total Loss: 1.673	Classifier Loss: 0.243	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 79.04%    Target Domain Accuracy: 73.05%
Epoch [81/200]	Time: 19.34 seconds	Total Loss: 1.674	Classifier Loss: 0.245	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 78.91%    Target Domain Accuracy: 73.57%
Epoch [82/200]	Time: 19.29 seconds	Total Loss: 1.673	Classifier Loss: 0.244	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 78.19%    Target Domain Accuracy: 70.64%
Epoch [83/200]	Time: 19.30 seconds	Total Loss: 1.668	Classifier Loss: 0.240	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 78.45%    Target Domain Accuracy: 70.57%
Epoch [84/200]	Time: 19.30 seconds	Total Loss: 1.665	Classifier Loss: 0.238	Transfer Loss: 0.111	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 79.82%    Target Domain Accuracy: 71.81%
Epoch [85/200]	Time: 20.70 seconds	Total Loss: 1.669	Classifier Loss: 0.239	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.012	Souce Domain Accuracy: 79.17%    Target Domain Accuracy: 71.61%
Epoch [86/200]	Time: 19.30 seconds	Total Loss: 1.659	Classifier Loss: 0.229	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 76.69%    Target Domain Accuracy: 71.09%
Epoch [87/200]	Time: 19.29 seconds	Total Loss: 1.660	Classifier Loss: 0.231	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 78.12%    Target Domain Accuracy: 69.60%
Epoch [88/200]	Time: 19.35 seconds	Total Loss: 1.651	Classifier Loss: 0.223	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 78.39%    Target Domain Accuracy: 72.40%
Epoch [89/200]	Time: 20.65 seconds	Total Loss: 1.647	Classifier Loss: 0.217	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 77.47%    Target Domain Accuracy: 72.14%
Epoch [90/200]	Time: 19.32 seconds	Total Loss: 1.656	Classifier Loss: 0.226	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 79.95%    Target Domain Accuracy: 71.88%
Epoch [91/200]	Time: 19.25 seconds	Total Loss: 1.644	Classifier Loss: 0.215	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 76.17%    Target Domain Accuracy: 71.09%
Epoch [92/200]	Time: 19.28 seconds	Total Loss: 1.643	Classifier Loss: 0.215	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 78.19%    Target Domain Accuracy: 70.38%
Epoch [93/200]	Time: 19.31 seconds	Total Loss: 1.646	Classifier Loss: 0.217	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 77.80%    Target Domain Accuracy: 70.05%
Epoch [94/200]	Time: 20.66 seconds	Total Loss: 1.635	Classifier Loss: 0.207	Transfer Loss: 0.113	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.84%    Target Domain Accuracy: 71.16%
Epoch [95/200]	Time: 19.30 seconds	Total Loss: 1.639	Classifier Loss: 0.209	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 78.06%    Target Domain Accuracy: 70.25%
Epoch [96/200]	Time: 19.29 seconds	Total Loss: 1.641	Classifier Loss: 0.211	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 77.99%    Target Domain Accuracy: 71.29%
Epoch [97/200]	Time: 19.27 seconds	Total Loss: 1.635	Classifier Loss: 0.206	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.26%    Target Domain Accuracy: 69.86%
Epoch [98/200]	Time: 19.26 seconds	Total Loss: 1.642	Classifier Loss: 0.211	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.011	Souce Domain Accuracy: 78.32%    Target Domain Accuracy: 70.12%
Epoch [99/200]	Time: 20.63 seconds	Total Loss: 1.636	Classifier Loss: 0.208	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.32%    Target Domain Accuracy: 69.79%
Epoch [100/200]	Time: 19.36 seconds	Total Loss: 1.634	Classifier Loss: 0.204	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 77.67%    Target Domain Accuracy: 69.92%
Epoch [101/200]	Time: 19.29 seconds	Total Loss: 1.628	Classifier Loss: 0.199	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.52%    Target Domain Accuracy: 72.59%
Epoch [102/200]	Time: 19.25 seconds	Total Loss: 1.622	Classifier Loss: 0.193	Transfer Loss: 0.115	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 70.77%
Epoch [103/200]	Time: 19.24 seconds	Total Loss: 1.618	Classifier Loss: 0.190	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.010	Souce Domain Accuracy: 77.34%    Target Domain Accuracy: 72.07%
